酒店名称,fishtrip_id,mddid_old,mddid_get,poiid_get,国家
一起来睡吧背包客栈,Ks7TxFjFags,22346,22346,7895568,台湾
阿里山大_山庄,tlL8QPE5Avs,12594,22346,6257373,台湾
阿里山美丽亚山庄,-6DW-6fYib0,10044,22346,6092591,台湾
阿里山樱山大饭店,Q6q-9Kp4aHQ,10044,22346,6102033,台湾
阿里山奋起湖大饭店,mWzEkj-XOKY,22346,22346,6123453,台湾
阿里山龙云农场,g1a3n31gnS4,10044,22346,8283242,台湾
阿里山阁大饭店,Hhzbrb1MG64,12594,10044,6100343,台湾
逢甲米果二馆,EIBHOMsGEgE,16405,16405,7894818,台湾
J&I逢甲美宿馆,nwiNuPQKEeI,16405,16405,8085364,台湾
逢甲卡诺民宿,aZtT7ltDFJY,16405,10746,7004878,台湾
台中英伦会馆,rS12Qt-0j70,16405,10769,8714723,台湾
逢甲三馆,Ae9X3NAdKXk,16405,15325,8375975,台湾
逢甲二馆,ngPHO7ozmaQ,16405,16405,7894818,台湾
逢甲卡伯A馆,Afe3Qi5JGyA,16405,16405,8507178,台湾
逢甲卡伯B馆,YorrpClDSfg,16405,16405,8507179,台湾
逢甲_琉民宿,zAr81blzXEw,16405,16405,7688695,台湾
逢甲盒子玩酷馆(一馆),60Pkdb7QGc4,16405,16405,7894802,台湾
逢甲小欧洲,QYwBw7qQeqI,16405,16405,8283164,台湾
逢甲美学院,3Yimc__5ikA,16405,16405,6101962,台湾
逢甲天空宿,xMZKu38nyec,16405,15325,69777,台湾
逢甲,pCzU0bTgZnc,16405,16405,8658071,台湾
逢甲Enjoy发现幸福,WnW9HO4YVZI,16405,,,台湾
逢甲盒子玩美馆(二馆),WNKaF_bf1gU,16405,,,台湾
红宝石花园民宿,jhlJ2IBc4fQ,16405,16405,8283820,台湾
台中一中小牛先生,uXmT-uiYWF4,16405,16405,8283222,台湾
逢甲爱琴海,xKpM-B34e7A,16405,15325,8561311,台湾
西子湾蓝白拖民宿,H6eqC3vXjHo,11065,15325,6101959,台湾
高雄恋之宿,yk5lKLHAMrw,11065,,,台湾
85大楼Sam的家,hbXq5TovUIg,11065,15325,7330398,台湾
85空中城SKYCITY,Uh_px1NKADs,11065,15325,6103486,台湾
85蓝海主题套房,KKW0TbmxXdA,11065,15325,7383634,台湾
高雄_芯旅店,UxXBWS4QcpI,11065,11065,92374,台湾
高雄85海角,Yrzp6dZwoNc,11065,10360,8085358,台湾
85异国假期,L7l3RQoKg7A,11065,11065,8085363,台湾
方福苑时尚行馆,iiQJck4WSbE,11065,11065,8506996,台湾
西子湾大饭店站前馆,EMsuzf_dNvM,11065,,,台湾
打狗湾青年旅馆,DwFJyK1M75k,11065,11065,8360799,台湾
85天空民宿,3Py0IyPaJEw,11065,11065,5476596,台湾
85休闲小站,eXqhKn-9zz0,11065,11065,8085361,台湾
疾风门客栈,khW3JIGCPZ0,11065,15325,8285685,台湾
六合转角737,ETkACc6bl-Q,11065,15325,8285721,台湾
绿光水畔-瑞丰南屏1馆,XWCTYLyKdTY,11065,11065,8282638,台湾
绿光水畔-瑞丰南屏2馆,jsLI3EtQmbE,11065,11065,7728412,台湾
绿光水畔-高铁自由馆,fiR-HYCekME,11065,11065,8285745,台湾
亚特艾斯三多馆,eb6iYOZ31JA,11065,11065,8475320,台湾
凤梨背包客栈,OVPUm_xT-gs,11065,15325,8285769,台湾
城市丛林民宿,kT0KNvPX1rg,15325,15325,8282614,台湾
松缘居民宿,zZ578nXMUqQ,15325,15325,8282234,台湾
城市雅痞民宿,1P4UJdhO0o0,15325,15325,6587081,台湾
美式前卫民宿,gdLigphytzc,15325,15325,8507116,台湾
温馨家庭民宿,zN_GGTUY9xY,15325,15325,8507120,台湾
北滨海景民宿,NtEwGDkqTQY,15325,23039,8507117,台湾
城市庄敬民宿,IHtiRbJ3uGQ,15325,15325,8507194,台湾
翔飞点心小栈,xXpm5c3-CtY,15325,15325,8285926,台湾
花莲巷宿民宿,Daavxc9BwUg,15325,15325,7006383,台湾
瑚光山舍民宿,I5xJJIzeOqg,15325,15325,8280656,台湾
田园梦120民宿,5Y_T4Y_lfVo,15325,15325,8280362,台湾
发现树湖民宿,6Pg-KFk4Rmc,15325,15325,6496568,台湾
 落羽松别馆民宿,d2JbnVZJ6dA,15325,15325,8280571,台湾
丰臣秀吉别馆民宿,WxYxsqxpXHc,15325,23039,8280662,台湾
花莲花境民宿,5boBc_JyOX8,15325,15325,8280457,台湾
桥下105民宿,ia-YpCZi7O4,15325,15325,8280458,台湾
可尔颂民宿,adCBbA4g-6Q,15325,15325,8284396,台湾
蓝海欣园民宿,LyLrpktwFQ0,15325,15325,6587145,台湾
钢琴家民宿,_Fzoc0on_0w,15325,15325,8280682,台湾
小雨蛙生态农场民宿,1A4VBf5xGu8,15325,23039,8285224,台湾
香格里拉民宿,cU2pZO8yNeg,15325,23039,6496189,台湾
南海十阶民宿,aGHNxZ6VJZI,15325,,,台湾
花莲亚馨民宿,mrI3Z0_hAH4,15325,23039,8280534,台湾
花莲采妍民宿,6rNOhgWq23A,15325,23039,6120158,台湾
琉鑫梦田民宿,5m3p7eFRPl8,15325,15325,8282282,台湾
陶林小屋民宿,Zlv784s7-AE,15325,23039,8282929,台湾
花莲欧妃庭民宿,3_V-1AxI_w8,15325,15325,6587098,台湾
美丽晨曦民宿,w-SPCfGbQU4,15325,15325,6587102,台湾
花莲觅境民宿,uF_2aaqJjjw,0,15325,8280484,台湾
花莲古拉民宿,QqwP8s5NLNc,15325,15325,8280388,台湾
牛舍土楼民宿,bMl1L1qUxbQ,15325,11066,7896633,台湾
花比屯民宿,oiTE3bifFKY,15325,15325,8280488,台湾
花莲起点民宿,ZPfAn0lg7Ww,15325,11066,8280712,台湾
后站瑜心民宿,fHRm-uz8hYY,15325,15325,8280588,台湾
好康spots民宿,FCrF2Ft6qzI,15325,15325,6299855,台湾
纽澳华温泉民宿,OqPG_4pruJE,25340,15325,6496416,台湾
山不在高站前民宿,dRAMH_m1vPU,15325,15325,8280692,台湾
玛琪朵民宿,ASA3p6mn9SM,15325,15325,8280741,台湾
花莲采沃旅店,3zFhBnjLMuY,15325,,,台湾
城市阿玛菲民宿,iHNyqmhpFrA,15325,15325,6496179,台湾
意思风情民宿,8dn9CkLv7rg,15325,15325,6121010,台湾
马略卡民宿,wCFfu_XGmKA,15325,15325,6052496,台湾
君典家民宿,RM3SnVEcnOk,15325,15325,8280732,台湾
依比鸭鸭水岸会馆民宿,kFYUTdAtNzg,15325,15325,8282672,台湾
花莲智岚雅居,lM_Db7YljSE,15325,15325,7670925,台湾
阿鲁娃艺宿馆民宿,JEsTyZVDL5Y,15325,15325,8283077,台湾
慢。生活民宿,-TyoTNVsvks,15325,15325,8280584,台湾
花莲漫飞民宿,azTRrsJruPQ,15325,,,台湾
山湾水月特色民宿,9ufzKTUrTyc,25340,15325,6496426,台湾
星星跳浪民宿,7v0-5F8Wv6g,15325,15325,7917869,台湾
花莲叶子民宿,YKf_o7auclQ,15325,15325,7896342,台湾
牛转干坤民宿,v9qkbApAljo,15325,27771,8282392,台湾
芭娜娜民宿,vK0e07CvTio,15325,15325,8283296,台湾
吉普赛民宿,pm6gqa12_8Y,15325,15325,6496140,台湾
老东家民宿,_af4qNkOoTg,15325,15325,8089669,台湾
石头的家民宿,Ul0Vns2X2qI,15325,15325,6150193,台湾
立群花园民宿,sHEPoivZgW8,15325,15325,8280402,台湾
太鲁阁小鱼的家民宿,ev2Bko2wh6A,15325,15325,6496597,台湾
微风晴园民宿,B6JOdJRlNOo,15325,15325,8765787,台湾
察理之家民宿,otsgmvdX7XE,15325,15325,8085430,台湾
花莲观星水阁民宿,rNTTieYo2nE,15325,15325,6496499,台湾
荷风蓝亭民宿,bpy3DNV0NWE,15325,15325,6103574,台湾
雅致小筑吉安民宿,s3lMytql4oo,15325,15325,6496348,台湾
花莲未央艺术民宿,jB19CZE9PvY,15325,15325,8280569,台湾
太鲁阁海湾民宿,DgzsD4iI5Qg,15325,27771,6587110,台湾
拾穗精品民宿,LSFbRqfwwyY,15325,27771,8280491,台湾
碧海蓝天民宿,A4fZijP4jvc,15325,15325,6092711,台湾
760高地民宿,7aV0g7l2RMM,15325,15325,8089731,台湾
站前9号精致民宿,4wkhzBQsipg,15325,15325,8280543,台湾
白阳山庄民宿,jBqL7CRu138,15325,27771,6496368,台湾
水果艺蓝民宿,Jf4xt1kzbzI,15325,27771,6496684,台湾
日の出民宿,a1Y4I1b1qxs,15325,15325,6587136,台湾
水晶阁民宿,x6Rg2LKw_j0,15325,15325,8280423,台湾
新雅阁民宿,YdZo8m6rr4Q,15325,15325,8280623,台湾
樱田野民宿,t6w9Qp1gP68,15325,15325,8280411,台湾
花莲恋居民宿,V5yOUT4YhnA,15325,15325,8280748,台湾
花莲踩风民宿,qHZaMWxbnlE,15325,27771,8280368,台湾
奇莱亚民宿,GW2eFiJWoE8,15325,15325,6151554,台湾
大花紫薇民宿,M04t7-Ceocg,15325,27771,8089744,台湾
花莲桔园民宿,bT5dwMXn330,15325,27771,8280403,台湾
山与海民宿,40fumzXY5ac,15325,11042,8280494,台湾
吉野精栈民宿,satAE0DYb9Q,15325,15325,8283219,台湾
怡然居摄影风格民宿,Z8mw3NJbXL8,15325,10819,5429866,台湾
花莲蓝天民宿,aRrWE-hF9rU,15325,10819,6116521,台湾
云天别馆民宿,iBDkgPSZTyk,15325,15325,8280676,台湾
碧云雅筑民宿,jbE-Rloe0EY,15325,10819,5430016,台湾
花莲六福客栈,OOCYtmMYa6w,15325,10819,6587174,台湾
花莲洄澜客栈,IImbsqLnPW8,15325,27771,8380204,台湾
蔗里有甜民宿,CokbvR27ZA8,15325,10222,8285961,台湾
花莲羽竹民宿,rixZnVEHXok,15325,15325,5531237,台湾
阡豪民宿(一馆),kI-NynGnFvA,15325,27771,7379287,台湾
松之风温泉,jR0IBcby5Wk,15325,27771,6117553,台湾
璞拉漫民宿,-r5du3jxb0o,15325,15325,6047536,台湾
花莲浩_民宿,uLhxvLGb9zA,15325,15325,7736958,台湾
花莲礼乐民宿,aefvz-_6wzE,15325,,,台湾
花莲小城堡民宿,xzTy38Cu7ZE,15325,15325,8089698,台湾
欧悦时尚汽车旅馆宜兰馆,knbZXiKMbwg,16211,16211,7006219,台湾
新天鹅堡民宿,F5a3M3gtvmw,16211,16211,8283892,台湾
宜兰家园民宿,fsIs9r937pQ,16211,10222,8285908,台湾
月牙泉民宿,IuFQm-YLidg,16211,10819,6492108,台湾
